Tabel Kemampuan Uji Laboratorium Obat dan Nappza;;;;;;;;;;
;;;;;;;;;;
NO;ZAT AKTIF;JENIS SEDIAAN;BENTUK SEDIAAN;PARAMETER UJI ;Metode Uji (PNBP);Jumlah Sampel;;Harga;"Harga Total
(sudah termasuk organoleptik)";
;;;;;;Minimal;Satuan;;;
;;;;;;;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;Rp1.342.353;;
;;;;Disolusi ;;12;;Rp851.297;;
19;GABAPENTIN;Oral;Kapsul;Pemerian;organoleptik;3;Kapsul;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Dissolusi;;12;;Rp1.342.353;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp851.297;;
20;HALOPERIDOL;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;Rp1.342.353;;
;;;;Disolusi ;;12;;Rp851.297;;
21;LIDOCAINE HYDROCHLORIDE;Steril;Injeksi;Pemerian;Organoleptik;3;Vial;Rp31.257;Rp9.919.624;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp9.775.089;;
;;;;pH;pH Meter;3;;Rp113.278;;
22;LORAZEPAM;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;Rp3.774.962;v
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Kandungan;;10;;Rp1.342.353;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
23;METAMIZOLE SODIUM;Oral;Tablet;Pemerian;Organoleptik;3;Tablet;Rp31.257;Rp882.554;v
;;;;Identifikasi;Reaksi warna;20;;;;
;;;;Penetapan Kadar;Titrimetri;20;;Rp851.297;;
24;OLANZAPINE;Oral;Tablet;Pemerian;Organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan ;;10;;Rp1.550.055;;
;;;;Disolusi;;12;;Rp1.342.353;;
25;PARACETAMOL;Oral;Larutan Oral;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp113.278;;
;;;;Keseragaman Sediaan;penimbangan;10;;Rp1.342.353;;
;;;;pH ;pH meter;3;;Rp851.297;;
26;PARACETAMOL;Oral;Suspensi Oral;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp113.278;;
;;;;Keseragaman Sediaan;penimbangan;10;;Rp1.342.353;;
;;;;pH;pH meter;3;;Rp851.297;;
27;PARACETAMOL;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
